Mutation Operator,Gen.,Trivial,Killed,Not Killed,Invalid
CMO-M-ADD_Block_statements,60,11,16,33,0
CMO-M-ADD_MethodCallExpression_arguments,165,89,27,49,0
CMO-M-ADD_OperationDefinition_parameters,7,4,0,3,0
CMO-M-DEL_Block_statements,318,112,55,151,0
CMO-M-DEL_EOLModule_operations,7,4,0,3,0
CMO-M-DEL_MethodCallExpression_arguments,53,29,8,16,0
CMO-M-DEL_OperationDefinition_parameters,5,4,0,1,0
CMO-M-REP_Block_statements,26,10,4,12,0
CMO-M-REP_FOLMethodCallExpression_conditions,11,1,4,6,0
CMO-S-DEL_EOLModule_block,1,1,0,0,0
CMO-S-DEL_ExpressionOrStatementBlock_block,50,13,6,31,0
CMO-S-DEL_FOLMethodCallExpression_target,11,6,2,3,0
CMO-S-DEL_IfStatement_elseBody,8,1,0,7,0
CMO-S-DEL_MethodCallExpression_target,140,70,26,44,0
CMO-S-DEL_ModelElementType_modelName,54,21,8,25,0
CMO-S-DEL_OperationDefinition_body,7,0,0,0,7
CMO-S-DEL_PropertyCallExpression_target,268,0,0,0,268
CMO-S-REP_AssignmentStatement_rhs,18,5,6,7,0
CMO-S-REP_FOLMethodCallExpression_method,37,15,10,12,0
CMO-S-REP_FormalParameterExpression_name,34,14,6,14,0
CMO-S-REP_IfStatement_condition,58,35,2,21,0
CMO-S-REP_MethodCallExpression_method,42,14,4,24,0
CMO-S-REP_ModelElementType_modelName,54,22,8,24,0
CMO-S-REP_NotOperatorExpression_inBrackets,1,0,0,1,0
CMO-S-REP_OrOperatorExpression_inBrackets,2,0,0,2,0
CMO-S-REP_PropertyCallExpression_extended,33,6,11,16,0
CMO-S-REP_VariableDeclarationExpression_create,11,8,0,3,0
CMO-S-REP_VariableDeclarationExpression_name,70,35,13,22,0
CMO-S-REP_VariableDeclarationExpression_resolvedType,2,0,0,2,0
